date,category,region,post_count
2026-05-30,food,더현대서울,20
2026-05-30,food,동대문,12
2026-05-30,food,뚝섬,2
2026-05-30,food,마곡,5
2026-05-30,food,마포,13
2026-05-30,food,망원,5
2026-05-30,food,명동,11
2026-05-30,food,문래,8
2026-05-30,food,방배,1
2026-05-30,food,부산,9
2026-05-30,food,북촌,1
2026-05-30,food,분당,1
2026-05-30,food,사당,7
2026-05-30,food,삼성,6
2026-05-30,food,상수,2
2026-05-30,food,상암,2
2026-05-30,food,서울숲,3
2026-05-30,food,서초,11
2026-05-30,food,서촌,6
2026-05-30,food,석촌,7
2026-05-30,food,석촌호수,6
2026-05-30,food,선릉,4
2026-05-30,food,성수,19
2026-05-30,food,속초,3
2026-05-30,food,송도,2
2026-05-30,food,송리단길,2
2026-05-30,food,송파,12
2026-05-30,food,수원,1
2026-05-30,food,시청,5
2026-05-30,food,신사,8
2026-05-30,food,신촌,2
2026-05-30,food,안국,3
2026-05-30,food,안양,1
2026-05-30,food,압구정,8
2026-05-30,food,양재,5
2026-05-30,food,양평,8
2026-05-30,food,여수,5
2026-05-30,food,여의도,15
2026-05-30,food,역삼,14
2026-05-30,food,연남동,5
2026-05-30,food,올림픽공원,1
2026-05-30,food,왕십리,4
2026-05-30,food,용산,30
2026-05-30,food,을지로,24
2026-05-30,food,의정부,3
2026-05-30,food,이태원,2
2026-05-30,food,익선동,1
2026-05-30,food,인사동,3
2026-05-30,food,인천,9
2026-05-30,food,일산,9
2026-05-30,food,잠실,16
2026-05-30,food,전주,7
2026-05-30,food,제주,5
2026-05-30,food,종로,41
2026-05-30,food,천호,3
2026-05-30,food,청담,2
2026-05-30,food,춘천,5
2026-05-30,food,코엑스,4
2026-05-30,food,파주,5
2026-05-30,food,포항,1
2026-05-30,food,하남,1
2026-05-30,food,한남동,7
2026-05-30,food,합정,6
2026-05-30,food,해방촌,2
2026-05-30,food,혜화,6
2026-05-30,food,홍대,9
2026-05-31,domestic_travel,가로수길,4
2026-05-31,domestic_travel,가평,44
2026-05-31,domestic_travel,강남,54
2026-05-31,domestic_travel,강동,11
2026-05-31,domestic_travel,강릉,89
2026-05-31,domestic_travel,건대,10
2026-05-31,domestic_travel,경주,86
2026-05-31,domestic_travel,고양,24
2026-05-31,domestic_travel,공덕,5
2026-05-31,domestic_travel,과천,2
2026-05-31,domestic_travel,광교,5
2026-05-31,domestic_travel,광명,12
2026-05-31,domestic_travel,광주,79
2026-05-31,domestic_travel,광화문,12
2026-05-31,domestic_travel,교대,10
2026-05-31,domestic_travel,구리,7
2026-05-31,domestic_travel,김포,15
2026-05-31,domestic_travel,남산,9
2026-05-31,domestic_travel,남양주,22
2026-05-31,domestic_travel,노량진,10
2026-05-31,domestic_travel,대구,137
2026-05-31,domestic_travel,대전,114
2026-05-31,domestic_travel,대학로,3
2026-05-31,domestic_travel,더현대서울,13
2026-05-31,domestic_travel,도산공원,1
2026-05-31,domestic_travel,동대문,11
2026-05-31,domestic_travel,뚝섬,4
2026-05-31,domestic_travel,마곡,16
2026-05-31,domestic_travel,마포,26
2026-05-31,domestic_travel,망원,16
2026-05-31,domestic_travel,명동,21
2026-05-31,domestic_travel,문래,10
2026-05-31,domestic_travel,미사,7
2026-05-31,domestic_travel,방배,5
2026-05-31,domestic_travel,부산,271
2026-05-31,domestic_travel,부천,28
2026-05-31,domestic_travel,북촌,11
2026-05-31,domestic_travel,분당,22
2026-05-31,domestic_travel,사당,7
2026-05-31,domestic_travel,삼성,11
2026-05-31,domestic_travel,상수,4
2026-05-31,domestic_travel,상암,3
2026-05-31,domestic_travel,서울숲,14
2026-05-31,domestic_travel,서초,15
2026-05-31,domestic_travel,서촌,6
2026-05-31,domestic_travel,석촌,7
2026-05-31,domestic_travel,석촌호수,5
2026-05-31,domestic_travel,선릉,1
2026-05-31,domestic_travel,성수,70
2026-05-31,domestic_travel,속초,62
2026-05-31,domestic_travel,송도,19
2026-05-31,domestic_travel,송리단길,4
2026-05-31,domestic_travel,송파,20
2026-05-31,domestic_travel,수원,62
2026-05-31,domestic_travel,시청,24
2026-05-31,domestic_travel,신사,12
2026-05-31,domestic_travel,신촌,6
2026-05-31,domestic_travel,안국,13
2026-05-31,domestic_travel,안양,19
2026-05-31,domestic_travel,압구정,17
2026-05-31,domestic_travel,양양,24
2026-05-31,domestic_travel,양재,6
2026-05-31,domestic_travel,양평,23
2026-05-31,domestic_travel,여수,47
2026-05-31,domestic_travel,여의도,28
2026-05-31,domestic_travel,역삼,4
2026-05-31,domestic_travel,연남동,22
2026-05-31,domestic_travel,올림픽공원,3
2026-05-31,domestic_travel,왕십리,3
2026-05-31,domestic_travel,용산,36
2026-05-31,domestic_travel,을지로,17
2026-05-31,domestic_travel,의정부,12
2026-05-31,domestic_travel,이태원,16
2026-05-31,domestic_travel,익선동,10
2026-05-31,domestic_travel,인사동,6
2026-05-31,domestic_travel,인천,123
2026-05-31,domestic_travel,일산,25
2026-05-31,domestic_travel,잠실,35
2026-05-31,domestic_travel,전주,71
2026-05-31,domestic_travel,정자,7
2026-05-31,domestic_travel,제주,174
2026-05-31,domestic_travel,종로,37
2026-05-31,domestic_travel,천호,10
2026-05-31,domestic_travel,청담,12
2026-05-31,domestic_travel,춘천,38
2026-05-31,domestic_travel,코엑스,11
2026-05-31,domestic_travel,파주,47
2026-05-31,domestic_travel,판교,5
2026-05-31,domestic_travel,포항,37
2026-05-31,domestic_travel,하남,16
2026-05-31,domestic_travel,한남동,8
2026-05-31,domestic_travel,합정,13
2026-05-31,domestic_travel,해방촌,6
2026-05-31,domestic_travel,혜화,2
2026-05-31,domestic_travel,홍대,30
2026-05-31,domestic_travel,DDP,3
2026-05-31,food,가로수길,12
2026-05-31,food,가평,37
2026-05-31,food,강남,118
2026-05-31,food,강동,22
2026-05-31,food,강릉,64
2026-05-31,food,건대,20
2026-05-31,food,경주,72
2026-05-31,food,고양,35
2026-05-31,food,공덕,16
2026-05-31,food,과천,5
2026-05-31,food,광교,15
2026-05-31,food,광명,13
2026-05-31,food,광주,115
2026-05-31,food,광화문,37
2026-05-31,food,교대,24
2026-05-31,food,구리,18
2026-05-31,food,김포,24
2026-05-31,food,남산,8
2026-05-31,food,남양주,29
2026-05-31,food,노량진,11
2026-05-31,food,대구,217
2026-05-31,food,대전,135
2026-05-31,food,대학로,5
2026-05-31,food,더현대서울,18
2026-05-31,food,도산공원,2
2026-05-31,food,동대문,21
2026-05-31,food,뚝섬,10
2026-05-31,food,마곡,27
2026-05-31,food,마포,52
2026-05-31,food,망원,29
2026-05-31,food,명동,45
2026-05-31,food,문래,21
2026-05-31,food,미사,11
2026-05-31,food,방배,13
2026-05-31,food,부산,299
2026-05-31,food,부천,40
2026-05-31,food,북촌,9
2026-05-31,food,분당,45
2026-05-31,food,사당,18
2026-05-31,food,삼성,22
2026-05-31,food,상수,8
2026-05-31,food,상암,6
2026-05-31,food,서울숲,23
2026-05-31,food,서초,37
2026-05-31,food,서촌,11
2026-05-31,food,석촌,15
2026-05-31,food,석촌호수,9
2026-05-31,food,선릉,11
