rank,term,count,seed_queries,sample_titles,sample_links
49,성수동 핫플,11,핫플,"성수동 핫플 투어, 바닐라코 성수 플래그십 스토어 주말 방문기 | 성수동 중식 성수역 밥집 전자방｜NCT 해찬도 즐겨먹는 성수동... | 성수동 렌즈 매장 추천! 오렌즈 성수역점, 연무장길에서 넓은...",https://blog.naver.com/oldinna/224301725442 | https://blog.naver.com/kimnakji/224301679006 | https://blog.naver.com/lenstv/224301615814
50,수원 핫플,11,핫플,"수원 아동복 창고형 할인매장 다녀온 후기, 가격 진짜 미쳤어요 | 광교 법조타운 맛집, 야끼토리잔잔 광교점 후기! | [수원 행궁동 맛집] 백스트리트 피자 | 행궁동 데이트 코스...",https://blog.naver.com/simsuck121/224301745755 | https://blog.naver.com/smile085/224301833775 | https://blog.naver.com/shindenggu/224301694058
51,제주 핫플,11,핫플,"제주 체험농장제이샘_제주애플망고빙수 만들기 | 청보리가 익어가는 계절, 제주 | [제주] 왜 저는 부산보다 제주 이재모가 맛있는것같죠…?? | 제주...",https://blog.naver.com/jm8714/224301697689 | https://blog.naver.com/everyjeju-official/224301693786 | https://blog.naver.com/precure0619/224301688901
52,주말데이트,11,가볼만한곳|핫플,"한강 카약 윈드서핑 추천, 애견동반 한강물놀이 즐기기 | 뚝섬 주말 피크닉 볼거리 '농부의 시장' 한강공원 장터 내돈내산 | 수원꽃축제 일월수목원 제라늄 꽃명소 주차정보",https://blog.naver.com/gl_carlife/224301803483 | https://blog.naver.com/qhoomi/224301809481 | https://blog.naver.com/bravo0418/224301770491
53,가성비,10,나들이|데이트|팝업|핫플|후기,뚝섬역 맛집 술있는식탁 다양한 전통주와 마장동 육회가 있는 곳 | 메이튼 타이어 공기압 주입기 직접 써본 솔직 사용기 | 아빠비누 동백 샴푸바 100g 2개 직접 써본 솔직 사용기,https://blog.naver.com/jinlicious/224301821046 | https://blog.naver.com/ferricynide6946/224301830613 | https://blog.naver.com/blckmoors72092/224301831657
54,강릉여행,10,가볼만한곳|핫플,"강릉 여행 코스, 실내외 매력 비교와 실패 없는 강릉놀거리 꿀팁 | 강릉감자닭강정 중앙시장 포장 후기 강릉맛집 추천 | 강릉 이모네생선찜 예약 전쟁 끝에 다녀온 솔직 후기",https://blog.naver.com/jja0412/224301769893 | https://blog.naver.com/editorc/224301823035 | https://blog.naver.com/ddhhn/224301764025
55,대전 핫플,10,핫플,"｜봉명동 대전 핫플 , 대전 혼술바 '잔소리 봉명점' | 대전맛집 쌍둥이수육국밥 월평선사점의 푸짐했던 식사후기 | 선화동 태국음식 맛집 잇마이타이, 현지 느낌 가득한 신상 맛집",https://blog.naver.com/shrimpssong/224301819009 | https://blog.naver.com/narara20000/224301704324 | https://blog.naver.com/lsy949494/224301690205
56,맛집투어,10,가볼만한곳|핫플,덕수궁 돌담길 산책 후 광화문 맛집 햄버거 찾는다면?... | [김천 맛집] 매콤하고 아삭한 콩나물의 환상 조합! '대구왕뽈찜... | [인천 부평] 비 오는 날 생각나서 다녀온 부평 소머리국밥 맛집...,https://blog.naver.com/jinlogue/224301814082 | https://blog.naver.com/jini3656/224301827851 | https://blog.naver.com/uhagodqhr94/224301819658
57,습니다,10,가볼만한곳|나들이|다녀온|수도권|일상|핫플|후기,"경기 매장묘, 가격 위치 한번에 비교 | 6.3 성남시 본투표소 위치 찾기｜2026 지방선거 분당구... | [예콩맛집]서산 대산 회식 장소 추천/막창도둑 내돈내산 솔직...",https://blog.naver.com/rudrlcnahrhddnjs/224301795777 | https://blog.naver.com/hyorim7607/224301697430 | https://blog.naver.com/qlsdl0928/224301815371
58,어요,10,가볼만한곳|다녀온|데이트|주말|팝업|핫플|후기,"전주진북동맛집 박웅의 국가대표 짬뽕 전주점~~!! | 강남 데이트 카페 추천 _ 까눌라와 커피가 맛있는 아야커피 | 대마도 여행 노바호 탑승 후기, 대마도 배편 1층 2층 뭐가 다를까",https://blog.naver.com/dhanfp/224301817818 | https://blog.naver.com/wngml04235/224301792036 | https://blog.naver.com/jsk6668/224301784978
