rank,area,candidate_place,category,mention_count,sample_titles,sample_links
11,성수,라코스테,popup,2,"[성수 가볼만한 곳 라코스테 폴로 팩토리] 라코스테 폴로 셔츠...|[성수 데이트] 성수 팝업 데이트 (라코스테, 토코보, 뿔바투)",https://blog.naver.com/blk_lg_ryan/224301775008|https://blog.naver.com/colaunnie/224301753061
12,성수,라코스테 폴로 팩토리,popup,2,"[성수 가볼만한 곳 라코스테 폴로 팩토리] 라코스테 폴로 셔츠...|[성수 데이트] 성수 팝업 데이트 (라코스테, 토코보, 뿔바투)",https://blog.naver.com/blk_lg_ryan/224301775008|https://blog.naver.com/colaunnie/224301753061
13,성수,서울국제정원박람회,exhibition,2,2026 서울국제정원박람회 방문기^_^ 서울숲 정원 박람회에서...|서울국제정원박람회 서울숲 서울놀거리 성수 가볼만한 곳,https://blog.naver.com/flytothemoon__/224301819459|https://blog.naver.com/lizela87/224301710027
14,성수,클리오,popup,2,"성수 팝업 토코보 선스틱 , 이니스프리 무빙 팝업 , 클리오 서울숲...|서울 ꕀ",https://blog.naver.com/slpbb/224301825084|https://blog.naver.com/pio11170/224301693217
15,성수,토이스토리 파파존스 피자플래닛 팝업,popup,2,성수 토이스토리 파파존스 피자플래닛 팝업 총정리 (기간·메뉴...,https://blog.naver.com/kmiso77/224301821182
16,성수,티르티르,popup,2,티르티르 성수 플래그십 1주년 행사 풍선장식|성수 팝업 티르티르 팝업 방문만해도 본품 (5월 팝업 ),https://blog.naver.com/moreshinyparty/224301690335|https://blog.naver.com/ttiizz/224301538847
17,성수,포켓몬 시크릿 포레스트,popup,2,[성수 포켓몬 투어3] 서울숲 포켓몬 시크릿 포레스트 후기! 최단...|생각보다 더 귀여운 서울숲 포켓몬 시크릿 포레스트 줄 안서고...,https://blog.naver.com/ejl0304-/224301823835|https://blog.naver.com/journexy/224300264673
18,성수,포켓몬 팝업,popup,2,"성수 포켓몬스터 팝업 스토어 올리브영 골드 올리브 혜택 | 주말...|포켓몬고 하면서 즐긴 서울숲, 성수동 포켓몬스터 30주년 팝업 ...",https://blog.naver.com/jini1500/224301794276|https://blog.naver.com/j_o2_f/224301644321
19,성수,포켓몬스터,popup,2,"성수 포켓몬스터 팝업 스토어 올리브영 골드 올리브 혜택 | 주말...|포켓몬고 하면서 즐긴 서울숲, 성수동 포켓몬스터 30주년 팝업 ...",https://blog.naver.com/jini1500/224301794276|https://blog.naver.com/j_o2_f/224301644321
20,성수,한강공원,activity,2,"한강 카약 윈드서핑 추천, 애견동반 한강물놀이 즐기기|뚝섬 주말 피크닉 볼거리 '농부의 시장' 한강공원 장터 내돈내산",https://blog.naver.com/gl_carlife/224301803483|https://blog.naver.com/qhoomi/224301809481
21,성수,ETF베이커리,cafe,2,"성수 데이트 코스 추천, 연못 뷰가 예쁜 ㅣ""ETF베이커리 성수""",https://blog.naver.com/kye3103/224301795991
22,성수,+ 쇼퍼백 성수 팝업,popup,1,틈결 에스더버니 키링.₍ᐢ. ̮.ᐢ₎ + 쇼퍼백,https://blog.naver.com/zzvvon/224301735063
23,성수,5월 6월 성수 팝업,popup,1,5월 6월 성수 팝업 처음이라면 필수 꿀팁 후기 스쿱이벤트 정보...,https://blog.naver.com/chae_ve_ly/224301783161
24,성수,가 성수디저트카페,cafe,1,[성수 카페] 성수동의 복잡한 거리에서 살짝 벗어나...,https://blog.naver.com/age2010/224301755252
25,성수,가기 전에 잠실갔는데 지브리 팝업,popup,1,여름오는 소리 엥엥엥,https://blog.naver.com/newz1y/224301726937
