rank,category,region,candidate_name,candidate_type,post_count,sample_titles,sample_links
2052,domestic_travel,가평,산마을글램핑장,candidate,1,가평 산마을글램핑장 후기｜커플 글램핑 숙소 추천(시설...,https://blog.naver.com/dlthdus6902/224301163077
2053,food,제주,산방식당,restaurant,1,제주 공항 근처 현지인 맛집 산방식당 도청직영점 메뉴 내돈내산,https://blog.naver.com/song0110/224301928662
2054,food,대전,산삼주,candidate,1,원기보충하는 대전 흑염소 전문점 흑염소수육에 산삼주 대전...,https://blog.naver.com/hsb7827/224301945835
2055,food,제주,산지,candidate,1,"마치 도쿄에 온 것 같은, 제주 산지 해산물로 꾸려진 오마카세...",https://blog.naver.com/comosoyti/224301863634
2056,domestic_travel,제주,산지,candidate,1,"마치 도쿄에 온 것 같은, 제주 산지 해산물로 꾸려진 오마카세...",https://blog.naver.com/comosoyti/224301863634
2057,food,제주,산지 해산물로 꾸려진 오마카세 식도락 여행,restaurant,1,"마치 도쿄에 온 것 같은, 제주 산지 해산물로 꾸려진 오마카세...",https://blog.naver.com/comosoyti/224301863634
2058,domestic_travel,제주,산지 해산물로 꾸려진 오마카세 식도락 여행,restaurant,1,"마치 도쿄에 온 것 같은, 제주 산지 해산물로 꾸려진 오마카세...",https://blog.naver.com/comosoyti/224301863634
2059,domestic_travel,제주,살다보니 당일치기 육지여행도 해보네 점점 육,candidate,1,"북적북적 온평주택, 육지찍먹 5월 일상",https://blog.naver.com/kiesbird/224301689749
2060,food,제주,살이_4월 너무 더워서 카페,cafe,1,제주살이_4월,https://blog.naver.com/hwangmj516/224301850041
2061,food,제주,살펴본,candidate,1,보배반점 제주삼화점에서 살펴본 제주삼화 중식당의 다채로운...,https://blog.naver.com/qudwn56467/224301955260
2062,food,수원,삼겹살,candidate,1,수원 삼겹살 맛집 수원역 가성비 좋은 부추삼겹살 후기,https://blog.naver.com/skdlwldudsk/224301957233
2063,food,수원,삼겹살 맛집 수원역 가성비 좋은 부추삼겹살,restaurant,1,수원 삼겹살 맛집 수원역 가성비 좋은 부추삼겹살 후기,https://blog.naver.com/skdlwldudsk/224301957233
2064,food,수원,삼겹살 맛집 수원역 삼겹살 맛집 부추삼겹살,restaurant,1,수원 삼겹살 맛집 수원역 가성비 좋은 부추삼겹살 후기,https://blog.naver.com/skdlwldudsk/224301957233
2065,food,종로,삼겹살 종로3가 고기집 삼겹살 맛집,restaurant,1,종로3가 고기집 익선갈매기 야장 맛집 삼겹살,https://blog.naver.com/tweedyes/224301899690
2066,food,종로,삼계탕,candidate,1,동대문 삼계탕 종로 닭한마리 맛집 추천 : 한민국 닭한마리,https://blog.naver.com/ksy010915/224301844960
2067,domestic_travel,부산,삼광사,candidate,1,부산 삼광사 연등축제 야경 부처님오신날 가볼만한곳,https://blog.naver.com/jjung_gojibi/224301950104
2068,domestic_travel,부산,삼광사 연등축제,attraction,1,부산 삼광사 연등축제 야경 부처님오신날 가볼만한곳,https://blog.naver.com/jjung_gojibi/224301950104
2069,domestic_travel,부산,삼광사 연등축제 야경 부처님오신날 가볼만한곳,attraction,1,부산 삼광사 연등축제 야경 부처님오신날 가볼만한곳,https://blog.naver.com/jjung_gojibi/224301950104
2070,food,인천,삼교리동치미막국수,candidate,1,송도 맛집 추천 삼교리동치미막국수 인천송도점 들기름막국수...,https://blog.naver.com/blossom_camper/224301876474
2071,domestic_travel,인천,삼교리동치미막국수,candidate,1,송도 맛집 추천 삼교리동치미막국수 인천송도점 들기름막국수...,https://blog.naver.com/blossom_camper/224301876474
2072,food,대구,삼덕동 맛집 온담 본점 대구 샤브샤브 편백찜,restaurant,1,대구 삼덕동 맛집 온담 본점 대구 샤브샤브 편백찜 맛집 추천,https://blog.naver.com/mmmu14/224301928937
2073,domestic_travel,대구,삼덕동 맛집 온담 본점 대구 샤브샤브 편백찜,restaurant,1,대구 삼덕동 맛집 온담 본점 대구 샤브샤브 편백찜 맛집 추천,https://blog.naver.com/mmmu14/224301928937
2074,food,대구,삼덕동 샌드베이글 맛집 틸베이글 후르츠샌드,restaurant,1,대구 삼덕동 샌드베이글 맛집 틸베이글|후르츠샌드...,https://blog.naver.com/nabiene/224301928138
2075,food,대구,삼덕동 이자카야 야키토리 맛집 이쵸야 숯불에,restaurant,1,[대구 삼덕동 이자카야 야키토리 맛집 ] 이쵸야 숯불에 직접 굽는...,https://blog.naver.com/fpal1742/224301825389
2076,food,대구,삼덕동 커알못도 반한 커피 맛집 수평적관계,cafe,1,[대구 삼덕동] 커알못도 반한 커피 맛집 '수평적관계' 방문 후기,https://blog.naver.com/whalstn38/224301947227
2077,domestic_travel,대구,삼덕동 커알못도 반한 커피 맛집 수평적관계,cafe,1,[대구 삼덕동] 커알못도 반한 커피 맛집 '수평적관계' 방문 후기,https://blog.naver.com/whalstn38/224301947227
2078,food,대구,삼덕동카페 동인동카페 조르바삼덕 좋아서 매장,cafe,1,대구 삼덕동카페 동인동카페 조르바삼덕,https://blog.naver.com/whtnrud19/224301846315
2079,domestic_travel,대구,삼덕동카페 동인동카페 조르바삼덕 좋아서 매장,cafe,1,대구 삼덕동카페 동인동카페 조르바삼덕,https://blog.naver.com/whtnrud19/224301846315
2080,food,강남,삼성동 코엑스 -오크우드 오크 레스토랑,restaurant,1,[삼성동/코엑스 -오크우드 오크 레스토랑]9가지 무제한 와인과...,https://blog.naver.com/oktopblues/224300221407
2081,food,대구,삼성라이온즈파크 원정응원석 1-4 맛집,restaurant,1,대구삼성라이온즈파크 원정응원석 1-4 맛집 후기,https://blog.naver.com/flyrkdus/224301949202
2082,domestic_travel,대구,삼성라이온즈파크 원정응원석 1-4 맛집,restaurant,1,대구삼성라이온즈파크 원정응원석 1-4 맛집 후기,https://blog.naver.com/flyrkdus/224301949202
2083,food,대전,삼오식당,restaurant,1,대전 석갈비 맛집 9층 삼오식당 주차 상견례 부모님 식당 추천,https://blog.naver.com/2sora1113/224301936942
2084,domestic_travel,대전,삼오식당,restaurant,1,대전 석갈비 맛집 9층 삼오식당 주차 상견례 부모님 식당 추천,https://blog.naver.com/2sora1113/224301936942
2085,food,강남,상견례,candidate,1,강남역 한정식 맛집 조양관 강남 상견례 추천,https://blog.naver.com/ggaeb_ee/224301872444
2086,food,인천,상견례식당,restaurant,1,아리아리랑|한정식|코스요리|상견례 추천 맛집|내돈내산,https://blog.naver.com/precious567/224301879344
2087,food,대전,상견례식당,restaurant,1,대전 석갈비 맛집 9층 삼오식당 주차 상견례 부모님 식당 추천,https://blog.naver.com/2sora1113/224301936942
2088,domestic_travel,대전,상견례식당,restaurant,1,대전 석갈비 맛집 9층 삼오식당 주차 상견례 부모님 식당 추천,https://blog.naver.com/2sora1113/224301936942
2089,food,강남,상견례식당,restaurant,1,"화려한 기교 대신 식재료 본연의 가치로 승부하는 곳, 면 서울",https://blog.naver.com/sblue183/224301098827
2090,food,대전,상대동,candidate,1,대전 상대동 소소담 후기｜바삭한 꽈배기와 고로케가 생각나는 곳,https://blog.naver.com/eunbii91/224301946285
2091,domestic_travel,대전,상대동,candidate,1,대전 상대동 소소담 후기｜바삭한 꽈배기와 고로케가 생각나는 곳,https://blog.naver.com/eunbii91/224301946285
2092,food,대전,상대동 소소담,candidate,1,대전 상대동 소소담 후기｜바삭한 꽈배기와 고로케가 생각나는 곳,https://blog.naver.com/eunbii91/224301946285
2093,domestic_travel,대전,상대동 소소담,candidate,1,대전 상대동 소소담 후기｜바삭한 꽈배기와 고로케가 생각나는 곳,https://blog.naver.com/eunbii91/224301946285
2094,food,대전,상대동에 방문 포인트,candidate,1,대전 상대동 소소담 후기｜바삭한 꽈배기와 고로케가 생각나는 곳,https://blog.naver.com/eunbii91/224301946285
2095,domestic_travel,대전,상대동에 방문 포인트,candidate,1,대전 상대동 소소담 후기｜바삭한 꽈배기와 고로케가 생각나는 곳,https://blog.naver.com/eunbii91/224301946285
2096,food,광주,상무지구 뷔페 다이닝,restaurant,1,광주 상무지구 뷔페 다이닝원 주말 내돈내산 솔직후기,https://blog.naver.com/didue_/224301810519
